Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,Condition
Mercedes-Benz 240d,30.0,4,146.0,67.0,3250.0,21.8,80,Europe,Used
Honda Civic 1500 gl,44.6,4,91.0,67.0,1850.0,13.8,80,Japan,Used
Renault Lecar Deluxe,40.9,4,85.0,0.0,1835.0,17.3,80,Europe,Used
Subaru DL,33.8,4,97.0,67.0,2145.0,18.0,80,Japan,Used
Volkswagen Rabbit,29.8,4,89.0,62.0,1845.0,15.3,80,Europe,Used
Datsun 280-ZX,32.7,6,168.0,132.0,2910.0,11.4,80,Japan,Used
Mazda RX-7 GS,23.7,3,70.0,100.0,2420.0,12.5,80,Japan,Used
Triumph TR7 Coupe,35.0,4,122.0,88.0,2500.0,15.1,80,Europe,Used
Ford Mustang Cobra,23.6,4,140.0,0.0,2905.0,14.3,80,US,Used
Honda Accord,32.4,4,107.0,72.0,2290.0,17.0,80,Japan,Used
Plymouth Reliant,27.2,4,135.0,84.0,2490.0,15.7,81,US,Used
Buick Skylark,26.6,4,151.0,84.0,2635.0,16.4,81,US,Used
Dodge Aries Wagon (sw),25.8,4,156.0,92.0,2620.0,14.4,81,US,Used
Chevrolet Citation,23.5,6,173.0,110.0,2725.0,12.6,81,US,Used
Plymouth Reliant,30.0,4,135.0,84.0,2385.0,12.9,81,US,Used
Toyota Starlet,39.1,4,79.0,58.0,1755.0,16.9,81,Japan,Used
Plymouth Champ,39.0,4,86.0,64.0,1875.0,16.4,81,US,Used
Honda Civic 1300,35.1,4,81.0,60.0,1760.0,16.1,81,Japan,Used
Subaru,32.3,4,97.0,67.0,2065.0,17.8,81,Japan,Used
Datsun 210 MPG,37.0,4,85.0,65.0,1975.0,19.4,81,Japan,Used
Toyota Tercel,37.7,4,89.0,62.0,2050.0,17.3,81,Japan,Used
Mazda GLC 4,34.1,4,91.0,68.0,1985.0,16.0,81,Japan,Used
Plymouth Horizon 4,34.7,4,105.0,63.0,2215.0,14.9,81,US,Used
Ford Escort 4W,34.4,4,98.0,65.0,2045.0,16.2,81,US,Used
Ford Escort 2H,29.9,4,98.0,65.0,2380.0,20.7,81,US,Used
Volkswagen Jetta,33.0,4,105.0,74.0,2190.0,14.2,81,Europe,Used
Renault 18i,34.5,4,100.0,0.0,2320.0,15.8,81,Europe,Used
Honda Prelude,33.7,4,107.0,75.0,2210.0,14.4,81,Japan,Used
Toyota Corolla,32.4,4,108.0,75.0,2350.0,16.8,81,Japan,Used
Datsun 200SX,32.9,4,119.0,100.0,2615.0,14.8,81,Japan,Used
Mazda 626,31.6,4,120.0,74.0,2635.0,18.3,81,Japan,Used
Peugeot 505s Turbo Diesel,28.1,4,141.0,80.0,3230.0,20.4,81,Europe,Used
Saab 900s,0.0,4,121.0,110.0,2800.0,15.4,81,Europe,Used
Volvo Diesel,30.7,6,145.0,76.0,3160.0,19.6,81,Europe,Used
Toyota Cressida,25.4,6,168.0,116.0,2900.0,12.6,81,Japan,Used
Datsun 810 Maxima,24.2,6,146.0,120.0,2930.0,13.8,81,Japan,Used
Buick Century,22.4,6,231.0,110.0,3415.0,15.8,81,US,Used
Oldsmobile Cutlass LS,26.6,8,350.0,105.0,3725.0,19.0,81,US,Used
Ford Grenada gl,20.2,6,200.0,88.0,3060.0,17.1,81,US,Used
Chrysler Lebaron Salon,17.6,6,225.0,85.0,3465.0,16.6,81,US,Used
Chevrolet Cavalier,28.0,4,112.0,88.0,2605.0,19.6,82,US,Used
Chevrolet Cavalier Wagon,27.0,4,112.0,88.0,2640.0,18.6,82,US,Used
Chevrolet Cavalier 2-door,34.0,4,112.0,88.0,2395.0,18.0,82,US,Used
Pontiac J2000 SE Hatchback,31.0,4,112.0,85.0,2575.0,16.2,82,US,Used
Dodge Aries SE,29.0,4,135.0,84.0,2525.0,16.0,82,US,Used
Pontiac Phoenix,27.0,4,151.0,90.0,2735.0,18.0,82,US,Used
Ford Fairmont Futura,24.0,4,140.0,92.0,2865.0,16.4,82,US,Used
AMC Concord DL,23.0,4,151.0,0.0,3035.0,20.5,82,US,Used
Volkswagen Rabbit l,36.0,4,105.0,74.0,1980.0,15.3,82,Europe,Used
Mazda GLC Custom l,37.0,4,91.0,68.0,2025.0,18.2,82,Japan,Used
Mazda GLC Custom,31.0,4,91.0,68.0,1970.0,17.6,82,Japan,Used
Plymouth Horizon Miser,38.0,4,105.0,63.0,2125.0,14.7,82,US,Used
Mercury Lynx l,36.0,4,98.0,70.0,2125.0,17.3,82,US,Used
Nissan Stanza XE,36.0,4,120.0,88.0,2160.0,14.5,82,Japan,Used
Honda Accord,36.0,4,107.0,75.0,2205.0,14.5,82,Japan,Used
Toyota Corolla,34.0,4,108.0,70.0,2245.0,16.9,82,Japan,Used
Honda Civic,38.0,4,91.0,67.0,1965.0,15.0,82,Japan,Used
Honda Civic (auto),32.0,4,91.0,67.0,1965.0,15.7,82,Japan,Used
Datsun 310 GX,38.0,4,91.0,67.0,1995.0,16.2,82,Japan,Used
Buick Century Limited,25.0,6,181.0,110.0,2945.0,16.4,82,US,Used
Oldsmobile Cutlass Ciera (diesel),38.0,6,262.0,85.0,3015.0,17.0,82,US,Used
Chrysler Lebaron Medallion,26.0,4,156.0,92.0,2585.0,14.5,82,US,Used
Ford Grenada l,22.0,6,232.0,112.0,2835.0,14.7,82,US,Used
Toyota Celica GT,32.0,4,144.0,96.0,2665.0,13.9,82,Japan,Used
Dodge Charger 2.2,36.0,4,135.0,84.0,2370.0,13.0,82,US,Used
Chevrolet Camaro,27.0,4,151.0,90.0,2950.0,17.3,82,US,Used
Ford Mustang GL,27.0,4,140.0,86.0,2790.0,15.6,82,US,Used
Volkswagen Pickup,44.0,4,97.0,52.0,2130.0,24.6,82,Europe,Used
Dodge Rampage,32.0,4,135.0,84.0,2295.0,11.6,82,US,Used
Ford Ranger,28.0,4,120.0,79.0,2625.0,18.6,82,US,Used
Chevy S-10,31.0,4,119.0,82.0,2720.0,19.4,82,US,Used
